id,question
169,What is the nutritional information of the recipe?
169,How long does it take to prepare the recipe?
169,Is there any allergen mentioned in the instructions?
170,What is the nutritional information for this recipe?
170,Can I substitute egg for gluten-free alternative?
170,How long should I microwave bell pepper before serving?
170,Are there any allergens mentioned in the instructions?
170,What are the steps to prepare this dish?
171,What is the nutritional information for this Mushroom Risotto recipe?
171,Is there any shellfish listed as an allergen?
171,Can this dish be prepared in under 30 minutes?
171,How do I store this Mushroom Risotto for future meals?
171,Do you recommend serving this with a side salad?
172,Is this recipe suitable for a vegetarian diet?
172,What equipment is needed to prepare this dish?
172,How many calories are in this recipe per serving?
172,What's the nutritional information of this recipe?
172,"I'm allergic to dairy, can I still make this dish?"
173,What is the nutritional information of Caesar Salad?
173,Is there any dietary category for this recipe?
174,How long should I cook this recipe on the Stove?
174,Can I use alternative ingredients to make this dish Paleo-friendly?
174,What nutritional information does this recipe provide?
174,Is there any equipment needed for preparing this recipe?
174,What are the dietary restrictions of this recipe?
175,What is the nutritional information for this recipe?
175,Is there anything allergic to this recipe?
175,How long does it take to prepare this dish?
176,What ingredients are needed for this lentil soup recipe?
176,Is there any equipment needed to prepare this soup?
176,How long does it take to prepare this lentil soup recipe in total?
176,Does this lentil soup have any dietary restrictions?
177,What is the recipe for Vegan Quinoa Bowl?
177,Is there any equipment needed for this dish?
177,How long does it take to prepare the quinoa bowl?
177,Can I substitute tofu with other protein sources if I don't have it available?
177,Is this dish suitable for a vegetarian diet?
178,How many calories does Greek Salad have?
178,What is the protein content of Greek Salad?
178,What are the carbohydrates in Greek Salad?
178,What fats are in Greek Salad?
178,Is Greek Salad safe for people with a nut allergy?
179,What is the recipe for oatmeal with berries? What are the dietary restrictions?
179,What equipment is needed for this recipe? How long does it take to prepare?
179,What are the nutritional information of the dish? Are there any allergens mentioned?
179,Can you provide a brief overview of how to prepare this dish?
180,What is the dietary category of this recipe?
180,How long does it take to prepare the dish?
180,Can I cook or blend this recipe in an oven or grill?
181,What is the nutritional information for this recipe?
181,Is there any dairy in this vegan quinoa bowl?
182,What is the nutritional information of this recipe?
182,Is there any allergic ingredient?
182,How long does it take to prepare the recipe?
182,Can I substitute ingredients for diet needs?
182,What are the equipment needed?
183,What is the nutritional information for this recipe?
183,Can I substitute tofu with another protein?
184,"What is the nutritional information of the recipe? How many calories, protein, carbs, and fats are contained?"
184,What equipment is needed for preparing this dish?
185,What is the nutritional information of this recipe?
185,How long does it take to prepare this recipe?
185,What equipment do I need for this recipe?
185,"If there are any allergens in this recipe, what are they?"
185,Can you suggest a topping to serve with this recipe?
186,How many calories are in this pancake recipe?
186,What is the protein content per serving?
186,Can I substitute bell pepper for spinach?
186,Does the recipe have any nuts or seeds?
186,Is there a vegetarian option available?
187,What is the serving size of this Greek Salad?
187,How long should I air fry these ingredients for the recipe?
187,Can I substitute quinoa with another grain in this recipe?
188,Can I substitute chicken with tofu in this recipe?
188,Is it necessary to use an Instant Pot for this Lentil Soup recipe?
188,Will the nutritional information change if I reduce the protein from lentils to beans?
188,Does this recipe require any specific equipment or tools besides the Instant Pot?
188,Is there anything else I need to keep in mind while preparing this dish?
189,What is the dietary category of this recipe?
189,What are the necessary equipment needed for cooking these pancakes?
189,How many calories does it have?
189,Is there any allergic ingredient in this recipe?
189,What time do I need to prep this recipe?
190,What is the nutritional information of Spaghetti Carbonara?
190,How long does it take to prepare?
190,What equipment do I need for this recipe?
190,Is there any preparation time required before serving?
190,Do I need to avoid nuts or gluten during this meal?
191,What are the nutritional information of this recipe?
191,Is there any allergen listed for this dish?
191,How long does it take to prepare and how many servings can I make from this recipe?
192,What is the nutritional information of this recipe?
192,What equipment is needed for cooking?
193,"{'type': 'What is the name of the recipe?', 'answer': 'Greek Salad'}"
193,"{'type': 'What meal type is this recipe for?', 'answer': 'Breakfast'}"
193,"{'type': 'Is this a vegetarian or non-vegetarian dish?', 'answer': 'Vegetarian'}"
193,"{'type': 'What are the required ingredients for this Greek Salad?', 'answer': 'Onion, chicken, kale, spinach, milk'}"
193,"{'type': 'What equipment is needed to prepare this recipe?', 'answer': 'Instant Pot or Grill'}"
194,What is the recommended cooking equipment for this recipe?
194,How long should I chill the salad before enjoying it?
194,Is there any dairy component that might affect the nutritional information?
195,What is the nutritional information of this recipe?
195,What equipment is needed for cooking this recipe?
196,How long should I chill the Caesar Salad before serving?
196,What equipment do I need to cook this recipe?
196,Is there any alternative ingredient for salmon in this recipe?
196,Can this salad be made ahead of time and still be delicious?
196,What is the nutritional value of this meal?
197,What is the dietary category of this recipe?
197,How many calories are in this recipe?
197,Can I substitute tofu for salmon in this recipe?
197,What equipment is needed for cooking this recipe?
197,Is there any allergen listed in this recipe?
198,How many calories are in this recipe?
198,What is the protein content of this recipe?
198,How much carbs are in this recipe?
198,What fats are in this recipe?
198,Is there any dairy included in this recipe?
199,How many calories are there in this recipe?
199,What is the nutritional information of the pancakes?
199,Can I replace soy with a different allergen?
199,Is it necessary to use an Instant Pot for cooking or blending the ingredients?
199,Do you have any suggestions for toppings?
